;Format of textures:
;TextureName	Width	Height
;*	PatchName	Xoffset	Yoffset
AASTINKY    		128	128
*	WALL00_3    	0	0
BIGDOOR1    		128	128
*	DOOR2_1     	0	0
BIGDOOR2    		128	128
*	DOOR2_4     	0	0
BIGDOOR4    		128	128
*	DOOR9_1     	0	0
BRNBIGC     		128	40
*	W113_1      	0	0
BRNBIGL     		128	128
*	WALL54_1    	0	0
*	W113_2      	26	34
BRNBIGR     		128	128
*	WALL54_1    	0	0
*	W113_3      	26	34
BRNPOIS     		64	128
*	SW12_4      	32	0
*	SW12_5      	0	0
*	PS20A0      	1	60
BRNPOIS2    		128	128
*	WALL52_1    	0	0
*	PS20A0      	32	76
BRNSMAL1    		64	128
*	W111_2      	0	0
BRNSMAL2    		128	128
*	WALL54_1    	0	0
*	W111_3      	26	34
BRNSMALC    		128	64
*	W112_1      	0	0
BRNSMALL    		128	128
*	MWALL1_1    	0	0
*	W112_2      	35	39
*	W112_2      	64	39
*	W112_2      	6	39
*	W112_2      	93	39
BRNSMALR    		128	128
*	MWALL1_1    	0	0
*	W112_3      	34	40
BROWN1      		128	128
*	SW12_4      	0	0
*	SW12_4      	32	0
*	SW12_4      	64	0
*	SW12_5      	96	0
BROWN144    		64	128
*	RP1_2       	0	0
BROWN96     		128	128
*	WALL62_1    	0	0
BROWNGRN    		64	128
*	SW12_4      	0	0
*	SW12_4      	32	0
BROWNHUG    		128	256
*	MWALL4_1    	0	128
*	DOOR12_1    	0	0
BROWNPIP    		64	128
*	W15_4       	0	0
COMP2       		256	128
*	COMP02_1    	0	0
*	COMP02_2    	64	0
*	COMP02_4    	128	0
*	COMP02_3    	192	0
*	COMP02_6    	0	64
*	COMP02_8    	64	64
*	COMP02_7    	128	64
*	COMP02_5    	192	64
*	STEP08      	0	56
*	STEP08      	32	56
*	STEP08      	64	56
*	STEP08      	96	56
*	STEP08      	128	56
*	STEP08      	160	56
*	STEP08      	192	56
*	STEP08      	224	56
*	STEP08      	0	120
*	STEP08      	32	120
*	STEP08      	64	120
*	STEP08      	96	120
*	STEP08      	128	120
*	STEP08      	160	120
*	STEP08      	192	120
*	STEP08      	224	120
COMPSPAN    		32	128
*	COMP03_4    	0	0
*	COMP03_4    	0	64
COMPSTA1    		8	128
*	AG128_2     	0	0
COMPSTA2    		128	128
*	SW12_1      	64	0
*	SW12_1      	64	64
*	SW12_1      	0	0
*	SW12_1      	0	64
COMPTALL    		256	128
*	COMP04_5    	32	0
*	COMP04_8    	96	0
*	COMP03_8    	160	0
*	COMP04_6    	0	64
*	COMP04_7    	64	64
*	COMP04_2    	128	64
*	COMP03_5    	192	0
*	COMP04_1    	192	64
*	COMP03_8    	0	0
COMPTILE    		128	128
*	COMP03_1    	0	0
COMPUTE1    		64	128
*	COMP1C_6    	0	0
COMPUTE2    		256	56
*	COMP02_1    	0	0
*	COMP02_2    	64	0
*	COMP02_3    	128	0
*	COMP02_7    	192	0
COMPUTE3    		128	128
*	SW11_1      	0	0
DOOR1       		128	128
*	WALL03_1    	0	0
DOOR3       		128	128
*	DOOR2_5     	0	0
DOORBLU     		8	128
*	W46_37      	0	112
*	W46_37      	0	0
*	W46_37      	0	96
*	W46_37      	0	80
*	W46_37      	0	16
*	W46_37      	0	32
*	W46_37      	0	48
*	W46_37      	0	64
DOORRED     		8	128
*	W46_38      	0	0
*	W46_38      	0	16
*	W46_38      	0	32
*	W46_38      	0	48
*	W46_38      	0	64
*	W46_38      	0	80
*	W46_38      	0	96
*	W46_38      	0	112
DOORSTOP    		32	118
*	CJVILL08    	-32	0
DOORTRAK    		128	128
*	DOORTRAK    	0	0
DOORYEL     		8	128
*	W46_39      	0	112
*	W46_39      	0	80
*	W46_39      	0	64
*	W46_39      	0	0
*	W46_39      	0	16
*	W46_39      	0	48
*	W46_39      	0	32
*	W46_39      	0	96
EXITDOOR    		128	128
*	DOOR3_6     	0	0
EXITSIGN    		64	128
*	RP1_1       	0	0
GRAY4       		128	128
*	CJCOMM02    	0	0
*	WALL23_2    	6	40
GRAY5       		64	256
*	WALL00_6    	0	0
GRAY7       		256	128
*	W32_4       	0	0
*	W32_1       	64	0
*	W32_4       	128	0
*	W33_8       	0	120
*	W33_8       	64	120
*	W33_8       	128	120
*	W32_4       	192	0
*	W33_8       	192	120
*	W32_4       	64	56
*	W32_1       	128	56
*	W32_4       	192	56
*	W32_4       	0	56
GRAYTALL    		128	128
*	WALL03_4    	0	0
LITE2       		64	128
*	SW12_4      	32	0
*	SW12_5      	0	0
*	FLAMP       	35	7
*	FLAMP       	13	7
LITE3       		32	64
*	CJLITE01    	0	0
LITE4       		64	128
*	WALL00_2    	0	0
LITE5       		384	111
*	SW19_1      	0	0
*	SW19_2      	192	0
LITEBLU1    		128	128
*	AGB128_1    	0	0
*	CJSPLAT1    	40	5
LITEBLU2    		64	128
*	W13_A       	0	0
LITEBLU3    		128	190
*	WALL53_1    	0	62
*	WALL59_4    	0	0
LITEBLU4    		256	128
*	WALL04_5    	0	0
NUKE24      		128	128
*	WALL04_7    	0	0
NUKEDGE1    		128	128
*	WALL04_3    	0	0
*	NUKEDGE     	0	104
NUKESLAD    		128	128
*	WALL57_1    	0	0
*	NUKEDGE     	0	105
PIPE2       		128	256
*	WALL00_8    	0	0
PLANET1     		32	128
*	TP3_1       	0	0
PLAT1       		256	128
*	WALL05_2    	0	0
SHAWN2      		128	70
*	WARNB0      	0	0
SKY1        		512	240
*	SKY1        	0	0
SLADPOIS    		128	128
*	WLA128_1    	0	0
*	PS20A0      	39	46
SLADRIP1    		64	128
*	WALL57_2    	0	0
SLADRIP2    		64	128
*	WALL57_3    	0	0
SLADRIP3    		64	128
*	WALL57_4    	0	0
SLADWALL    		128	128
*	WLA128_1    	0	0
STARG1      		64	128
*	SW11_5      	0	0
STARG3      		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
STARGR1     		128	128
*	LADDER16    	0	0
STARTAN1    		64	128
*	SW12_4      	0	0
